team_abbreviation_home,team_abbreviation_away,season_type,label,min_avg5,fg_pct_home_avg5,fg3_pct_home_avg5,ft_pct_home_avg5,oreb_home_avg5,dreb_home_avg5,reb_home_avg5,ast_home_avg5,stl_home_avg5,blk_home_avg5,tov_home_avg5,pf_home_avg5,pts_home_avg5,home_wl_pre5,fg_pct_away_avg5,fg3_pct_away_avg5,ft_pct_away_avg5,oreb_away_avg5,dreb_away_avg5,reb_away_avg5,ast_away_avg5,stl_away_avg5,blk_away_avg5,tov_away_avg5,pf_away_avg5,pts_away_avg5,away_wl_pre5
PHI,CLE,Regular Season,0,240.0,0.408,0.3432,0.7202,11.4,31.0,42.4,21.4,9.6,5.2,19.0,25.4,100.2,WWLWL,0.4668000000000001,0.3365999999999999,0.6864,9.2,37.4,46.6,25.8,6.0,5.0,17.8,24.6,100.6,WLLWW
BOS,MIN,Regular Season,1,250.0,0.4248,0.3554000000000001,0.7163999999999999,10.8,35.2,46.0,25.0,6.8,6.0,15.4,22.0,103.0,WLLWL,0.483,0.3276,0.8380000000000001,9.8,33.2,43.0,20.8,7.4,3.4,12.8,18.0,102.8,LLWWW
DEN,BKN,Regular Season,0,245.0,0.475,0.3458,0.8110000000000002,10.0,32.4,42.4,24.6,7.0,4.8,16.4,23.4,108.8,WWWLW,0.4294,0.2579999999999999,0.7110000000000001,10.6,34.4,45.0,19.0,6.6,4.8,12.6,21.0,97.6,LWLWW
DAL,SEA,Regular Season,0,240.0,0.4382,0.3283999999999999,0.8106,13.2,29.8,43.0,18.8,7.2,5.2,12.0,21.2,94.8,LLWLL,0.4168,0.4058,0.7932,14.2,25.4,39.6,16.8,7.6,5.2,17.0,22.6,90.4,WWWWL
PHX,POR,Regular Season,1,240.0,0.507,0.3736,0.8211999999999999,9.0,30.4,39.4,23.0,5.6,6.6,10.4,16.6,108.2,WWWWL,0.4801999999999999,0.3044,0.7936,8.6,31.6,40.2,23.6,8.6,3.8,13.0,16.4,102.0,LLWWW
MIL,CLE,Regular Season,1,240.0,0.4471999999999999,0.375,0.6718,14.4,26.4,40.8,21.6,6.2,4.8,12.4,22.0,99.6,WLLWL,0.4114000000000001,0.3762,0.7326,14.6,32.8,47.4,18.8,4.0,5.2,15.2,23.8,96.4,WLLWW
ORL,PHI,Regular Season,1,250.0,0.4423999999999999,0.3563999999999999,0.8278000000000001,10.8,33.6,44.4,20.4,8.2,4.2,12.6,16.2,99.6,WWWLL,0.3985999999999999,0.2508,0.742,11.0,30.0,41.0,17.0,9.0,3.8,19.2,22.2,88.2,LLWLW
LAC,MEM,Playoffs,1,240.0,0.4654,0.2272,0.6804,12.8,31.8,44.6,22.4,9.8,7.2,13.6,22.2,97.2,WWWLL,0.4210000000000001,0.3246,0.74,10.6,28.8,39.4,19.2,6.6,4.6,12.6,23.4,92.2,LWWWW
CLE,DAL,Regular Season,1,245.0,0.4695999999999999,0.4046000000000001,0.807,9.8,36.4,46.2,23.4,6.0,4.6,9.8,20.8,101.2,WLLWL,0.4588,0.359,0.8068,10.8,30.4,41.2,19.0,7.6,4.4,14.6,19.4,102.6,WLWWW
LAL,LAC,Regular Season,1,240.0,0.4576,0.4280000000000001,0.7637999999999999,9.6,36.6,46.2,21.2,10.4,7.0,18.4,22.2,99.4,WWWLL,0.4347999999999999,0.4112,0.7962,13.2,29.4,42.6,19.0,8.8,3.4,17.2,21.2,99.6,WLLWW
ATL,NYK,Regular Season,1,240.0,0.4852,0.347,0.796,11.2,28.0,39.2,24.8,9.2,3.4,15.2,22.2,102.6,WLWLL,0.4734,0.3246,0.7932,15.2,29.4,44.6,24.4,9.6,5.4,15.4,23.4,103.6,WLWWW
NYK,MIL,Regular Season,1,240.0,0.433,0.2850000000000001,0.6981999999999999,11.4,31.0,42.4,14.0,7.6,2.4,18.2,21.4,88.6,WWLWW,0.428,0.3982,0.6846,11.2,28.0,39.2,16.6,7.6,3.8,15.8,21.2,92.8,LLWWW
NYK,DET,Regular Season,0,240.0,0.5094000000000001,0.2720000000000001,0.7742000000000001,10.8,34.0,44.8,30.2,8.6,7.6,14.0,21.4,110.4,WWLWW,0.4454000000000001,0.2524,0.7581999999999999,13.6,30.2,43.8,22.2,8.0,4.0,14.4,22.0,98.0,WWWLW
LAL,ORL,Regular Season,0,240.0,0.455,0.3672000000000001,0.8154,12.8,35.2,48.0,24.4,9.4,4.2,18.0,21.8,107.2,WWWLL,0.4218,0.3074,0.708,7.0,30.2,37.2,19.0,6.0,3.8,13.4,22.4,89.2,WWLWW
SAC,PHX,Regular Season,1,240.0,0.4406,0.4065999999999999,0.727,14.4,28.4,42.8,24.6,7.2,4.8,19.0,24.4,103.4,LWWLL,0.5048,0.2998,0.8081999999999999,13.6,26.0,39.6,22.2,6.2,4.2,18.2,24.2,108.0,LLWWW
PHX,SEA,Regular Season,1,250.0,0.4793999999999999,0.525,0.8374,16.8,33.0,49.8,28.0,9.0,5.8,13.8,21.8,117.2,WWWWL,0.4508,0.3157999999999999,0.768,11.6,27.4,39.0,21.8,7.0,2.6,17.4,27.2,90.0,WWWWL
LAC,GSW,Regular Season,0,240.0,0.4606,0.4164,0.7602,8.8,36.4,45.2,24.4,6.2,5.6,14.8,23.6,110.4,WWWLL,0.4482,0.3458,0.828,8.6,31.4,40.0,20.4,6.6,3.4,11.4,22.4,109.8,LLWWW
DAL,SEA,Regular Season,1,240.0,0.5238000000000002,0.4496,0.8916000000000001,12.0,30.0,42.0,24.0,7.2,5.2,14.0,19.0,110.0,LLWLL,0.4626,0.3728000000000001,0.7618,11.2,28.6,39.8,22.0,7.2,3.4,13.0,23.4,98.4,WWWWL
HOU,POR,Regular Season,1,240.0,0.5202,0.3666,0.8468,13.4,33.4,46.8,26.6,6.6,6.8,15.4,19.4,121.0,LLWLW,0.4892,0.2166,0.7811999999999999,14.6,26.6,41.2,24.2,8.6,3.6,18.6,19.6,103.8,LLWWW
SAC,SAS,Regular Season,1,240.0,0.4482000000000001,0.3598,0.7014,10.4,35.2,45.6,23.0,8.8,4.6,15.8,22.6,106.4,LWWLL,0.4502,0.3556000000000001,0.7580000000000002,9.4,36.8,46.2,18.6,6.8,5.0,21.2,22.2,106.6,WWLWL
CHI,CHH,Regular Season,1,240.0,0.5584,0.428,0.7444,12.6,31.4,44.0,30.4,12.4,4.4,12.4,19.0,119.4,LLWLW,0.4976,0.5142,0.8082,13.4,26.4,39.8,29.0,7.4,1.6,15.2,26.8,111.0,WLWWL
BOS,MIL,Regular Season,1,240.0,0.4896,0.2944000000000001,0.7956,13.0,34.0,47.0,25.8,8.0,7.4,13.8,22.0,100.8,WLLWL,0.4669999999999999,0.3908,0.7314,12.8,26.8,39.6,26.2,7.8,5.8,13.0,25.6,100.8,LLWWW
DET,NYK,Regular Season,0,240.0,0.4716,0.4126,0.784,11.8,27.2,39.0,19.0,4.8,2.4,13.0,23.6,94.8,LLLLL,0.437,0.3398,0.7316,14.6,26.6,41.2,20.2,6.6,3.2,16.6,25.0,95.8,WLWWW
WAS,NYK,Regular Season,0,240.0,0.4788000000000001,0.3334000000000001,0.8474,11.4,33.4,44.8,22.0,5.4,4.4,15.4,20.8,112.6,WLLWL,0.4992,0.3862000000000001,0.8112,10.8,29.4,40.2,28.2,8.0,4.0,14.8,18.2,114.6,WLWWW
LAL,MEM,Regular Season,0,245.0,0.433,0.3450000000000001,0.7526,13.0,31.6,44.6,20.0,7.0,7.0,15.0,24.0,96.2,WWWLL,0.4502,0.3674,0.6517999999999999,10.6,29.4,40.0,19.2,6.2,4.2,18.6,24.8,87.0,LWWWW
DET,IND,Regular Season,1,245.0,0.4574000000000001,0.3694,0.7062,12.2,37.0,49.2,21.0,9.8,3.6,14.8,17.2,110.0,LLLLL,0.4266000000000002,0.342,0.7478,10.2,30.2,40.4,17.2,7.4,3.6,15.0,22.2,98.0,LWWWL
WAS,NYK,Regular Season,0,245.0,0.4272,0.2478000000000001,0.8161999999999999,11.2,32.0,43.2,22.0,6.4,3.2,10.8,16.0,90.2,WLLWL,0.4312,0.3511999999999999,0.8764,8.8,31.8,40.6,23.4,7.4,5.6,13.6,21.6,93.4,WLWWW
BOS,CHI,Regular Season,1,240.0,0.55,0.4928,0.7898,11.0,36.2,47.2,30.6,6.6,8.2,15.4,19.6,122.4,WLLWL,0.442,0.35,0.7448,15.6,27.2,42.8,19.6,10.6,3.4,16.0,23.8,99.4,LWLWL
POR,HOU,Playoffs,1,255.0,0.4588,0.3880000000000002,0.789,13.4,33.8,47.2,23.0,7.2,5.8,11.6,20.6,113.4,LLLLL,0.4384,0.3143999999999999,0.7700000000000001,9.0,32.6,41.6,18.2,8.0,3.4,16.0,28.0,95.2,WWWLL
LAC,DET,Regular Season,1,240.0,0.4642,0.3942,0.6689999999999999,12.6,30.8,43.4,28.2,9.0,5.4,16.0,24.2,99.8,WWWLL,0.4399999999999999,0.3504,0.8417999999999999,14.0,25.0,39.0,21.8,10.2,5.0,15.0,28.0,100.6,WWWLW
CHI,CLE,Regular Season,1,245.0,0.482,0.3526,0.7434000000000001,9.4,26.6,36.0,23.2,7.8,6.6,12.2,27.6,102.0,LLWLW,0.4488,0.2508,0.7378,12.2,27.6,39.8,25.8,8.8,5.0,14.6,24.8,102.0,WLLWW
MIA,NJN,Regular Season,1,240.0,0.5208,0.4274,0.7344,10.8,26.0,36.8,24.2,7.0,5.0,13.8,22.6,106.0,WLLLL,0.4558000000000001,0.36,0.8046,12.8,27.6,40.4,23.8,9.2,5.8,16.6,22.0,102.8,WWLWW
SAS,IND,Regular Season,1,240.0,0.474,0.3538,0.7574,8.4,37.2,45.6,23.4,9.6,8.2,15.8,20.2,106.4,LWLWL,0.4826,0.3642,0.795,13.4,35.2,48.6,24.2,9.8,5.2,13.4,18.0,111.8,LWWWL
POR,CHI,Regular Season,0,255.0,0.4631999999999999,0.3332,0.7056,15.6,32.2,47.8,23.8,10.8,5.4,15.6,27.2,116.2,LLLLL,0.4386,0.1351999999999999,0.7121999999999999,16.0,24.4,40.4,18.8,9.0,4.8,12.8,19.2,95.6,LWLWL
GSW,ATL,Regular Season,1,240.0,0.4848,0.3848,0.7657999999999999,8.6,39.0,47.6,32.2,11.6,4.6,15.0,20.8,118.0,WLLWW,0.4438000000000001,0.3996,0.8503999999999999,10.6,39.2,49.8,23.4,6.2,2.8,15.0,21.2,109.4,LWWWL
ATL,PHL,Regular Season,1,240.0,0.4843999999999999,0.3334,0.7134,18.2,32.2,50.4,26.6,5.2,5.6,14.6,24.4,106.8,WLWLL,0.4591999999999999,0.0,0.7752000000000001,11.6,28.0,39.6,20.6,10.6,4.0,17.0,22.4,99.4,WLWWL
NYK,IND,Regular Season,1,240.0,0.4277999999999999,0.3706000000000001,0.7924,9.2,29.8,39.0,17.6,8.2,4.8,13.0,23.0,90.4,WWLWW,0.4932,0.3768000000000001,0.7365999999999999,9.4,31.0,40.4,19.8,8.4,5.0,11.8,18.0,100.0,LWWWL
SAS,MEM,Regular Season,0,245.0,0.4144,0.2604,0.7708,13.2,30.8,44.0,18.4,7.0,7.2,11.6,19.4,95.0,LWLWL,0.4474,0.4283999999999999,0.7228,13.0,32.4,45.4,20.4,7.0,6.4,17.6,23.8,95.2,LWWWW
ORL,NJN,Regular Season,0,240.0,0.4432,0.4393999999999999,0.7390000000000001,15.8,29.8,45.6,20.2,9.2,5.4,18.8,24.8,101.6,WWWLL,0.4408,0.378,0.7874000000000001,11.0,27.4,38.4,20.6,10.6,6.4,16.6,24.0,97.2,WWLWW
ORL,CHA,Pre Season,0,240.0,0.4276,0.2991999999999999,0.8656,12.8,34.0,46.8,20.6,9.4,4.2,14.4,20.2,94.8,WWWLL,0.4176,0.3592,0.7482,12.4,31.2,43.6,19.6,7.8,4.6,11.6,24.6,102.0,LWLLL
SAS,DEN,Regular Season,0,240.0,0.4818,0.3536,0.7382,12.0,30.8,42.8,22.4,6.8,6.0,17.4,19.6,101.8,LWLWL,0.441,0.4386,0.8244,14.0,26.8,40.8,18.4,8.6,6.2,14.6,21.4,102.4,LLLLL
TOR,BOS,Regular Season,0,240.0,0.4656,0.3784,0.799,8.6,35.2,43.8,23.2,9.6,5.4,12.8,20.2,115.4,LWWWW,0.4924,0.4208,0.842,8.4,33.6,42.0,20.8,7.2,4.4,12.0,22.0,121.6,WLWLL
NYK,PHI,Pre Season,1,240.0,0.4326,0.3756,0.733,9.2,32.8,42.0,19.4,7.2,3.8,20.8,22.6,92.2,WWLWW,0.449,0.3545999999999999,0.7220000000000001,10.8,33.8,44.6,22.2,8.6,5.0,13.4,27.8,103.4,LLWLW
PHX,LAL,Regular Season,0,250.0,0.504,0.3502,0.8512000000000001,10.0,32.6,42.6,24.6,4.8,7.8,13.6,21.8,114.8,WWWWL,0.4528,0.466,0.7186,11.4,28.4,39.8,19.6,7.8,6.4,12.4,19.2,99.2,LWWWW
HOU,PHX,Regular Season,1,245.0,0.476,0.408,0.8370000000000001,8.8,29.6,38.4,20.8,8.4,7.6,15.0,22.0,99.0,LLWLW,0.4599999999999999,0.2982,0.7912000000000001,8.4,28.0,36.4,18.8,11.4,3.6,15.2,22.6,95.8,LLWWW
NJN,ATL,Regular Season,1,240.0,0.492,0.4535999999999999,0.7578,12.4,27.4,39.8,22.2,6.4,4.4,12.0,24.2,109.8,LLLLL,0.4168000000000001,0.2931999999999999,0.7489999999999999,11.6,30.6,42.2,15.8,9.0,6.0,13.4,18.8,91.6,LWWWL
DEN,PHX,Pre Season,1,240.0,0.4679999999999999,0.3975999999999999,0.6498,12.4,35.6,48.0,27.2,7.4,5.2,12.4,20.2,117.8,WWWLW,0.4658000000000002,0.258,0.7426,10.6,30.2,40.8,23.6,8.4,4.0,15.0,19.4,99.8,LLWWW
HOU,GSW,Regular Season,0,240.0,0.4274,0.3604,0.7612,10.2,36.6,46.8,21.0,4.6,4.0,14.2,19.8,93.0,LLWLW,0.428,0.3528,0.79,12.0,29.4,41.4,19.2,7.6,3.8,18.0,23.4,90.2,LLWWW
BOS,CHI,Pre Season,0,240.0,0.4149999999999999,0.3144000000000001,0.7572,11.2,29.0,40.2,16.6,7.4,4.8,21.2,25.0,84.6,WLLWL,0.422,0.262,0.6874,11.2,28.6,39.8,16.8,7.6,6.8,12.6,21.0,81.6,LWLWL
PHX,CHI,Regular Season,1,240.0,0.4700000000000001,0.2908,0.665,11.0,36.0,47.0,21.8,6.4,5.6,15.4,21.8,110.4,WWWWL,0.4398000000000001,0.3669999999999999,0.7592000000000001,8.0,31.6,39.6,21.4,7.4,2.2,15.0,19.8,99.4,LWLWL
DAL,HOU,Regular Season,1,240.0,0.5082000000000001,0.5942000000000001,0.7488,13.0,33.8,46.8,26.4,7.4,3.4,18.0,24.0,112.4,LLWLL,0.4336,0.2732,0.6672,17.0,25.6,42.6,23.6,9.8,4.6,17.0,25.0,95.4,WWWLL
NYK,PHI,Regular Season,1,240.0,0.4654,0.3220000000000001,0.7602,10.0,32.0,42.0,24.0,6.4,2.2,13.0,20.4,90.8,WWLWW,0.4766,0.4424,0.7524,12.0,22.0,34.0,21.8,9.0,2.8,17.2,21.2,102.6,LLWLW
IND,DET,Playoffs,0,245.0,0.3663999999999999,0.2588000000000001,0.7888000000000001,11.4,30.4,41.8,16.4,7.2,6.0,15.6,22.8,84.4,LLWLL,0.4282,0.2806,0.8266,11.4,28.8,40.2,20.6,6.2,6.0,16.2,20.6,90.0,WWWLW
WAS,CHI,Regular Season,0,240.0,0.5025999999999999,0.3966,0.8112,9.4,29.6,39.0,25.4,9.8,4.2,18.6,20.8,104.6,WLLWL,0.4468,0.3686,0.6638,15.6,25.8,41.4,23.2,10.0,4.4,13.2,22.6,98.6,LWLWL
MIN,SEA,Regular Season,0,240.0,0.4342,0.3736,0.8186,12.4,26.4,38.8,21.8,6.6,7.0,16.8,23.6,95.0,LLWLW,0.4476,0.4202,0.7518,8.8,29.4,38.2,25.4,6.2,4.8,13.8,20.8,94.4,WWWWL
GSW,LAL,Regular Season,0,245.0,0.3942,0.261,0.7444,13.8,30.6,44.4,21.2,7.2,6.2,14.8,23.8,93.4,WLLWW,0.4344,0.265,0.8065999999999999,12.2,30.6,42.8,21.2,6.6,4.4,14.2,21.0,93.4,LWWWW
SAS,ATL,Regular Season,1,240.0,0.4904,0.4472,0.8593999999999999,10.8,33.6,44.4,28.2,7.8,5.4,15.2,17.4,108.0,LWLWL,0.4706000000000001,0.4028,0.8548,10.2,33.8,44.0,23.2,7.4,3.4,16.0,21.4,111.8,LWWWL
TOR,PHX,Regular Season,0,240.0,0.4386,0.4509999999999999,0.8234,14.2,31.0,45.2,18.6,5.6,3.2,12.4,21.8,102.4,LWWWW,0.4542,0.358,0.7348000000000001,10.8,28.0,38.8,23.4,8.6,4.6,14.4,19.4,94.4,LLWWW
GSW,DEN,Regular Season,0,245.0,0.4486,0.367,0.7428,10.0,30.8,40.8,22.8,8.0,3.8,13.6,25.2,107.4,WLLWW,0.4669999999999999,0.3958,0.7068,10.4,30.0,40.4,21.6,6.6,2.8,17.8,24.0,94.6,LLLLL
BOS,CHI,Regular Season,1,240.0,0.4548,0.3350000000000002,0.8375999999999999,9.4,34.6,44.0,24.8,9.6,4.4,13.2,19.0,114.6,WLLWL,0.4566,0.3567999999999999,0.714,11.2,35.0,46.2,27.8,6.6,6.0,16.4,19.8,115.0,LWLWL
HOU,MIL,Regular Season,1,240.0,0.5044000000000001,0.371,0.7380000000000001,14.0,30.6,44.6,25.6,12.0,8.4,17.8,23.4,111.0,LLWLW,0.4396000000000001,0.1128,0.7228,18.0,25.8,43.8,20.4,10.2,4.0,12.8,21.6,104.8,LLWWW
GSW,PHX,Regular Season,1,240.0,0.4698,0.3974,0.6661999999999999,12.8,30.4,43.2,25.6,6.6,5.0,9.8,21.4,114.8,WLLWW,0.4926000000000001,0.4107999999999999,0.7896000000000001,9.4,35.2,44.6,25.4,7.6,5.4,16.6,20.0,108.2,LLWWW
PHX,SEA,Regular Season,1,240.0,0.5399999999999999,0.4088,0.7596,10.8,30.4,41.2,34.4,10.0,3.4,16.4,20.2,113.4,WWWWL,0.4316,0.251,0.7784,15.0,29.8,44.8,20.2,9.0,4.0,15.2,20.0,91.0,WWWWL
ATL,CLE,Regular Season,0,245.0,0.4702,0.3314000000000001,0.826,12.2,29.2,41.4,25.2,5.6,6.8,12.8,16.4,100.4,WLWLL,0.442,0.4352,0.8206,7.4,30.0,37.4,18.0,8.2,5.0,14.0,20.8,94.4,WLLWW
POR,MIN,Regular Season,1,240.0,0.4628,0.3526000000000001,0.79,11.6,33.0,44.6,25.4,8.0,3.4,13.4,19.2,99.6,LLLLL,0.4629999999999999,0.4432,0.8206,13.8,29.4,43.2,20.0,5.8,6.2,16.6,23.2,97.2,LLWWW
HOU,UTH,Playoffs,0,240.0,0.4591999999999999,0.3756,0.7762,9.0,31.6,40.6,22.2,8.4,5.4,14.4,20.8,102.0,LLWLW,0.4758,0.3364000000000001,0.7812,9.2,31.4,40.6,28.0,7.0,5.2,14.4,25.4,99.8,WLWWL
CLE,DET,Regular Season,1,240.0,0.4976000000000001,0.3188000000000001,0.7558,8.2,33.0,41.2,26.8,7.8,4.0,16.2,17.2,114.4,WLLWL,0.4488,0.3863999999999999,0.7106,10.8,33.8,44.6,25.4,8.4,5.6,12.0,17.2,104.6,WWWLW
BOS,CHI,Regular Season,1,245.0,0.5132000000000001,0.2666,0.8008,13.6,32.6,46.2,27.4,8.0,6.0,15.8,22.6,110.0,WLLWL,0.4817999999999999,0.2541999999999999,0.7596,11.8,31.0,42.8,24.8,9.0,6.6,17.6,23.8,105.4,LWLWL
MIL,LAL,Regular Season,1,240.0,0.5065999999999999,0.3534,0.7323999999999999,16.2,28.4,44.6,29.2,11.6,3.8,15.0,22.4,115.0,WLLWL,0.4906,0.18,0.8598000000000001,11.2,33.2,44.4,24.0,10.0,4.6,14.2,18.8,107.8,LWWWW
BOS,MIA,Regular Season,0,245.0,0.4352,0.3552000000000001,0.6988,10.0,32.8,42.8,20.8,9.8,4.8,14.6,20.6,99.0,WLLWL,0.3686,0.3766,0.6916,14.8,30.4,45.2,18.4,6.6,4.4,15.6,22.8,82.2,WLWLW
MIN,LAC,Regular Season,1,240.0,0.4428000000000002,0.3307999999999999,0.7605999999999999,15.6,32.0,47.6,20.6,7.6,2.8,13.0,23.0,100.0,LLWLW,0.4320000000000001,0.3063999999999999,0.7948000000000001,12.6,32.8,45.4,19.8,7.0,3.8,14.0,22.6,95.6,WLLWW
SAS,DEN,Regular Season,0,240.0,0.48,0.376,0.7058,12.8,36.4,49.2,27.8,5.0,5.4,12.4,17.4,111.2,LWLWL,0.4766,0.3880000000000002,0.8594000000000002,7.8,32.0,39.8,30.0,8.6,4.8,11.4,20.2,113.6,LLLLL
DAL,OKC,Regular Season,0,240.0,0.4616,0.3654,0.8478,11.2,30.0,41.2,20.0,9.2,4.4,12.4,21.6,101.2,LLWLL,0.511,0.4004,0.7752000000000001,9.8,29.8,39.6,23.6,7.0,3.2,14.8,22.6,106.2,WLWWL
IND,MIL,Regular Season,1,240.0,0.5035999999999999,0.3548000000000001,0.739,11.0,27.6,38.6,26.0,5.2,4.2,14.6,24.6,97.8,LLWLL,0.4269999999999999,0.2375999999999999,0.7969999999999999,13.8,28.4,42.2,19.4,6.6,5.8,18.0,27.4,86.0,LLWWW
IND,ORL,Regular Season,1,240.0,0.4184,0.2902000000000001,0.7182,14.0,33.4,47.4,18.2,4.8,4.2,11.6,17.6,90.6,LLWLL,0.4630000000000001,0.3762,0.713,10.0,27.4,37.4,22.4,6.6,4.0,17.4,23.6,95.6,WWLWW
UTA,SAC,Regular Season,1,240.0,0.4876000000000001,0.3196,0.6888,10.0,39.2,49.2,24.6,9.0,6.6,16.4,19.6,107.8,LLLLW,0.4354,0.266,0.82,8.0,33.2,41.2,21.0,8.8,5.0,18.6,20.8,97.0,WWWWL
MIA,CHI,Regular Season,1,250.0,0.4964,0.4098,0.8573999999999999,12.4,30.2,42.6,23.4,9.0,5.4,15.2,22.8,117.6,WLLLL,0.4568,0.3972,0.8138,9.0,30.6,39.6,17.6,7.0,5.0,15.0,20.4,102.0,LWLWL
DAL,PHI,Regular Season,0,240.0,0.4572,0.4244,0.8062000000000001,12.8,34.0,46.8,18.8,7.8,7.2,13.6,20.2,103.6,LLWLL,0.4904,0.5096,0.7434000000000001,9.0,26.8,35.8,25.8,8.4,4.0,11.0,21.8,103.8,LLWLW
MIA,LAL,Regular Season,1,240.0,0.4674,0.3696,0.7492,17.2,29.6,46.8,22.2,8.0,4.0,14.2,25.8,106.0,WLLLL,0.4632,0.3166,0.6275999999999999,14.2,29.8,44.0,20.8,7.8,5.2,21.4,21.6,88.6,LWWWW
TOR,CHA,Regular Season,1,240.0,0.4777999999999999,0.3072,0.8154,10.8,35.8,46.6,25.0,6.8,5.6,12.8,21.0,103.2,LWWWW,0.4522,0.3356,0.7832,9.0,34.4,43.4,20.6,4.6,3.6,13.4,20.6,94.8,LWLLL
ORL,DAL,Regular Season,1,240.0,0.4524,0.3263999999999999,0.8099999999999999,13.6,30.0,43.6,21.8,6.4,6.0,15.2,24.2,104.8,WWWLL,0.43,0.3416,0.7272000000000001,20.2,24.4,44.6,23.4,10.0,3.4,14.0,21.6,102.4,WLWWW
MIA,POR,Regular Season,0,255.0,0.4262,0.3494,0.6308,14.6,28.0,42.6,19.6,7.8,8.2,13.4,26.2,98.4,WLLLL,0.4471999999999999,0.3316,0.6528,9.4,22.8,32.2,20.6,10.6,3.4,13.8,25.0,89.0,LLWWW
IND,NOH,Regular Season,0,255.0,0.4772,0.4394000000000001,0.8004,11.2,35.6,46.8,23.8,8.2,7.2,17.2,23.4,112.6,LLWLL,0.4456,0.3018,0.7748,14.8,29.4,44.2,22.0,7.0,7.2,14.6,25.6,100.2,LWWWL
ORL,PHX,Regular Season,0,240.0,0.393,0.3527999999999999,0.7112,10.8,34.4,45.2,16.8,7.0,6.8,12.8,18.4,90.4,WWWLL,0.5054000000000001,0.4346000000000001,0.7704,7.6,34.0,41.6,24.0,8.4,4.6,11.4,19.8,118.0,LLWWW
IND,PHX,Regular Season,0,245.0,0.4326,0.3282000000000001,0.8146000000000001,14.4,32.0,46.4,16.4,7.8,5.6,15.2,18.6,102.6,LLWLL,0.441,0.41,0.7981999999999999,13.8,31.0,44.8,23.6,7.4,4.0,13.0,19.6,105.6,LLWWW
ATL,NYK,Regular Season,0,245.0,0.4476000000000001,0.3416,0.8364,14.4,29.8,44.2,23.0,7.2,4.4,15.8,22.6,96.4,WLWLL,0.412,0.3828,0.751,15.0,26.2,41.2,21.8,8.6,2.2,13.2,23.0,95.0,WLWWW
HOU,DEN,Regular Season,1,240.0,0.4488,0.3432,0.7858,8.2,34.0,42.2,19.8,8.4,3.8,11.0,19.8,110.4,LLWLW,0.4318000000000001,0.3258000000000001,0.8331999999999999,11.8,34.6,46.4,25.2,6.4,4.8,13.6,17.6,102.2,LLLLL
DEN,CLE,Regular Season,0,240.0,0.4816,0.4239999999999999,0.7610000000000001,12.4,35.8,48.2,27.8,6.0,7.0,14.6,26.2,114.0,WWWLW,0.4798,0.3766,0.6956,11.0,33.2,44.2,23.2,9.0,4.8,17.4,22.0,106.6,WLLWW
MIL,DAL,Regular Season,1,240.0,0.4233999999999999,0.2626,0.8374,13.2,26.8,40.0,19.8,10.2,4.4,16.4,21.4,92.8,WLLWL,0.4064,0.3359999999999999,0.8402000000000001,11.4,35.6,47.0,21.4,6.6,5.4,15.2,23.6,89.6,WLWWW
LAL,MIN,Pre Season,0,240.0,0.4638000000000001,0.2872000000000001,0.74,13.2,32.2,45.4,22.2,11.6,4.0,15.0,19.4,104.6,WWWLL,0.4748,0.3276,0.8544,10.0,34.0,44.0,26.0,8.0,3.4,14.6,19.4,109.2,LLWWW
NYK,BKN,Regular Season,1,240.0,0.5082000000000001,0.3850000000000001,0.7986000000000001,10.2,29.0,39.2,18.2,7.4,4.4,13.0,22.2,108.0,WWLWW,0.4090000000000001,0.3426,0.7476,12.2,25.8,38.0,23.4,9.6,4.2,12.4,21.8,100.2,LWLWW
NYK,TOR,Regular Season,0,250.0,0.44,0.3718000000000001,0.7818,11.0,37.2,48.2,23.0,7.0,6.4,15.2,19.4,114.6,WWLWW,0.3989999999999999,0.2576,0.7769999999999999,10.8,34.4,45.2,19.8,8.2,4.6,19.6,18.2,94.6,WLLWW
ATL,MIA,Regular Season,1,240.0,0.4538000000000001,0.356,0.7491999999999999,10.8,30.0,40.8,21.2,8.2,4.6,12.4,19.6,99.4,WLWLL,0.4322,0.2628,0.6992,10.2,31.6,41.8,20.2,7.0,5.6,14.0,20.4,83.2,WLWLW
SAS,UTA,Regular Season,1,240.0,0.4538,0.4014,0.7434,11.0,32.4,43.4,27.2,8.4,4.6,13.2,17.8,100.8,LWLWL,0.4427999999999999,0.3580000000000002,0.7258000000000001,11.0,34.6,45.6,21.8,9.6,9.6,19.2,16.8,88.6,WLWWW
NYK,CHH,Regular Season,0,245.0,0.3969999999999999,0.2980000000000001,0.8324,10.4,30.4,40.8,19.8,6.8,3.4,14.6,23.6,88.8,WWLWW,0.4366,0.4187999999999999,0.7494,11.4,30.2,41.6,22.6,7.0,6.6,14.0,21.6,89.6,WLWWL
DEN,MIN,Regular Season,1,240.0,0.502,0.4559999999999999,0.7386000000000001,9.6,29.0,38.6,25.4,8.2,8.6,13.4,21.6,108.8,WWWLW,0.4988000000000001,0.3541999999999999,0.7624000000000001,7.8,27.2,35.0,21.8,8.2,4.6,14.4,22.2,101.4,LLWWW
